RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
60,-2,57366,Cameron Young,69.98,5738,82
63,-3,34255,Joseph Bramlett,70.00,5600,80
64,-3,30926,Chris Kirk,70.01,6161,88
64,15,26596,Ryan Moore,70.01,5531,79
66,-3,47504,Sam Burns,70.04,5673,81
67,2,33653,Thomas Detry,70.06,6656,95
67,-2,32791,K.H. Lee,70.06,7216,103
67,-2,47347,Adam Schenk,70.06,8057,115
70,-3,57362,Austin Eckroat,70.07,6587,94
70,4,47988,Nick Hardy,70.07,7988,114
72,-3,58168,Davis Thompson,70.08,6447,92
73,8,33413,Ben Martin,70.12,7082,101
74,-3,45522,Christiaan Bezuidenhout,70.13,6242,89
74,-3,31646,Emiliano Grillo,70.13,7925,113
74,20,23320,Ryan Palmer,70.13,5400,77
74,-3,34046,Jordan Spieth,70.13,5049,72
78,-3,46442,Maverick McNealy,70.15,4139,59
